Frequency (Hz),N=1,N=2,N=3,N=4,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16,N=17,N=18,N=19,N=20,N=21,N=22,N=23,N=24,N=25,N=26,N=27,N=28,N=29,N=30
100000,4.008220966418833+7.395915266118079j,15.876020869965142+29.109630091482323j,35.59832452624354+65.12044912373572j,63.013527940552194+115.25989209027935j,98.07517416309337+179.63316199500804j,140.60554437454903+258.30157511125867j,190.09227070169257+350.94375591419214j,248.17835226433897+458.33189261971427j,313.9150156410684+579.8812737572391j,387.25073309948914+715.7844091888566j,471.1836409595769+867.3074683893111j,557.9494475310356+1030.9324056861915j,654.8019429844252+1210.0279715206345j,764.0204636686061+1405.2382809884966j,885.94616917782+1617.6931476901666j,989.8001024387596+1831.7687582008027j,1117.9401382506762+2068.522573553735j,1254.8313837514131+2320.3315020918544j,1455.2060109521276+2665.738903471925j,1553.282611242416+2867.288932889674j,1720.1909263235625+3165.407756400705j,1882.451099437973+3472.1456154848247j,2058.206556918932+3795.337584580744j,2243.2168933415537+4133.602952094875j,2430.526750836384+4483.852639853871j,2632.402466503664+4852.06044813586j,2843.8024492578543+5234.695877011038j,3056.577553947443+5629.699781790411j,3306.7745323866543+6050.808644557466j,3623.3069329719488+6513.116876471159j
100762.9863,4.048117855720447+7.424968437253777j,16.03335799191609+29.223972970276918j,35.95055245801536+65.37810192657007j,63.63430152148955+115.71789127911029j,99.0483284696186+180.3550954770825j,142.01149955356675+259.33971073902836j,191.99781006502943+352.3625199646912j,250.66536744644688+460.19471655802676j,317.0772798004842+582.2062574361396j,391.1300413866814+718.6896701024443j,475.9256038108129+870.7807553595038j,563.5717834317115+1035.155939447395j,661.5106002194686+1214.920000300569j,771.7661876498372+1410.918655375932j,894.8843743519924+1623.897037733023j,999.89951999798+1839.176236331855j,1129.31745028377+2077.1282785983044j,1267.5178013400516+2329.749128569132j,1469.2001549077645+2676.080397519495j,1568.8697208413607+2878.983995567643j,1737.779653418888+3178.3721722431123j,1901.4673253104836+3486.3654923383874j,2078.8249187961046+3811.52561507201j,2266.082380032277+4150.802062406365j,2455.4093121757896+4503.0253540826225j,2658.8446398117608+4872.280853918913j,2873.6129385070003+5256.256943216989j,3087.910783322789+5654.013674095332j,3341.4747519679736+6076.775210938387j,3660.3438246760065+6538.476707001669j
101531.794,4.087093562272758+7.453348168436689j,16.18907461534072+29.333429728046468j,36.29852991866502+65.6209156401698j,64.25241213893446+116.14721370904594j,100.00532667680926+181.02382042101044j,143.39216521563708+260.30794278126115j,193.8700203853616+353.686136269967j,253.11902057186967+461.9149570613762j,320.1811602975888+584.4091494650013j,394.97723553928245+721.3740154639584j,480.57409865382925+874.0048610205829j,569.0984473348672+1039.0068502986617j,667.9765405778945+1219.5116871578668j,779.3332570978923+1416.2566559025133j,903.7703520986172+1630.0273141440514j,1009.730217909861+1846.0941260931668j,1140.5666290856243+2084.7495633562617j,1279.8639300960217+2338.393030543095j,1483.7659774217295+2686.6546128925165j,1584.594191462958+2889.412442296736j,1755.0344732226074+3190.325104287247j,1920.541337041341+3499.5019625511068j,2099.898647349422+3825.9125341165172j,2288.8648389611712+4166.708165444661j,2480.7890645400344+4519.879802018555j,2685.355004639745+4890.691796271243j,2901.8773073085445+5275.08207546183j,3119.6514164837395+5675.095875678479j,3376.141171399806+6100.349731706207j,3696.0140481226867+6565.167715670201j
102306.4677,4.126018871827541+7.480071749444777j,16.345391161723622+29.440681169703943j,36.64666627212668+65.85876809225437j,64.86811445514681+116.57067733074527j,100.96392432668661+181.6855168685304j,144.76627308164225+261.2541480824178j,195.74776255464525+354.9803882469701j,255.56201955603203+463.6193520382796j,323.2801185246178+586.533598663875j,398.78748837445767+724.0428224188126j,485.24689934508496+877.2140405092927j,574.6408893217607+1042.8047497842056j,674.4815971571179+1224.007370898116j,786.7462084752887+1421.352966355071j,912.4085050911195+1635.9757450261413j,1019.653538884243+1852.9704518641138j,1151.5996779447964+2092.692305583504j,1292.483189999179+2347.028345064378j,1498.4118130130214+2696.708454084141j,1600.0044810986635+2900.37652100709j,1771.8924613204374+3202.1877027655983j,1938.987760746187+3512.7922468239112j,2120.98302776725+3839.141785068248j,2311.357504803856+4181.970690183806j,2503.7833915971164+4537.320667786658j,2711.6708876500193+4909.4349544239j,2929.654642453614+5296.2377294543285j,3151.273918479284+5696.214314629087j,3408.3381703231344+6122.148369772449j,3733.974018134223+6586.000587965064j
103087.0519,4.165858821028518+7.507256766299203j,16.501448657584678+29.547837179249015j,36.995099701853725+66.09435742225861j,65.48336985382852+116.98862404767837j,101.92288017266674+182.33913155561845j,146.1425979037081+262.1998013239597j,197.61313870499603+356.2725216298918j,258.02177121600596+465.3033228598279j,326.38882761511064+588.6854900513895j,402.63046829664523+726.6394578464092j,489.8486125885119+880.4090317531936j,580.2138305151825+1046.6691486858324j,680.9631686674221+1228.323025832167j,794.3722322353606+1426.3460554733103j,920.997422803572+1641.762916693563j,1029.3005860616079+1859.7320218825703j,1162.638646904493+2100.2794285889354j,1305.1491059154985+2355.542185961901j,1513.187294818738+2706.7951654126605j,1615.9047047611423+2911.2095085878627j,1789.576047983188+3213.8731832963867j,1958.003275542924+3525.5241264177307j,2140.855724375519+3853.080842222598j,2334.025495472971+4197.464479647729j,2528.4544902997445+4553.539819045565j,2739.0810130947493+4927.604501352923j,2958.9644845418175+5314.861113872938j,3181.730181476594+5717.188929360506j,3443.983821240308+6145.258260853743j,3769.380024727165+6610.014394454724j
103873.592,4.205492895696158+7.535902365224284j,16.659804668379316+29.65819843926809j,37.35157264221408+66.34119931156461j,66.11547956062591+117.42691319654962j,102.90813349308966+183.02286235471664j,147.5609302053+263.1847854006169j,199.53863610295576+357.6297413901007j,260.5258675794215+467.0706421067239j,329.5929355336303+590.9114817456447j,406.5854301258255+729.4163194138949j,494.67619725708516+883.6881890703276j,585.901727981577+1050.6132554429932j,687.6805987880435+1233.106464230525j,802.1688263047527+1431.847012198842j,929.9914905600602+1647.871749031477j,1039.8128735096136+1866.722165928302j,1174.2581738151089+2108.177107103013j,1318.166455699645+2364.920837677479j,1528.285313119856+2717.027593388404j,1631.5114602587896+2922.0856440461575j,1806.9478783234294+3225.932247210821j,1977.7676788112183+3538.525844113761j,2162.259017116123+3867.696508339759j,2358.0325999946062+4213.2112098727j,2554.317472587405+4570.670072842962j,2765.672017174546+4945.9409692266045j,2989.2895304927624+5337.250668921198j,3213.7031999928768+5738.534385137483j,3476.77479414589+6167.547244591389j,3808.4464464926587+6635.2670697186895j
104666.1332,4.246075983096146+7.564003798821314j,16.81986996467661+29.770498602793634j,37.710045154780396+66.59236931236374j,66.74897267197471+117.87307032920883j,103.89493891442606+183.72078432523995j,148.98977706318337+264.2032807231033j,201.48718432419665+359.01456125287626j,263.0749589252721+468.8784451128719j,332.8070845165112+593.1883269211186j,410.5548586260976+732.2222257161662j,499.50079826594396+887.1233072062453j,591.646966071899+1054.635257878115j,694.4413780268495+1237.7979532194022j,809.9476044467444+1437.3359764342867j,939.1939538646546+1654.0565544624208j,1049.8763817474253+1874.08669125312j,1185.9198080803778+2116.3614368536287j,1331.007057814477+2374.158464887865j,1542.5753593400707+2726.681092254168j,1647.9605398720782+2933.4831068397702j,1824.9044604835576+3238.465032658893j,1996.7150313538814+3552.820211035927j,2184.337318352222+3883.4248432743675j,2381.3057604411574+4229.928621414671j,2579.939553464951+4588.785371722405j,2794.138224325603+4964.537534865913j,3019.3286774851076+5356.363375031296j,3247.4628770328827+5761.345328607339j,3513.3975378468454+6191.512305094634j,3844.8044480531744+6660.043850896377j
105464.7215,4.28622454366101+7.5920541457096125j,16.981122023553624+29.880586668723925j,38.06990677011057+66.84060409952872j,67.38967749005252+118.3154086061316j,104.8948518568075+184.4169926008762j,150.4282275332602+265.20531601308863j,203.44642147026065+360.39508009250017j,265.6365715034605+470.6602570793794j,336.0637495863496+595.4604340106002j,414.59191316335375+735.0555727894265j,504.42633577735523+890.448528513235j,597.4515285363489+1058.6748197863958j,701.3246820249512+1242.542613685284j,817.9916244996639+1442.8186647689427j,948.390719718257+1660.4322839004788j,1060.3291826317409+1881.1627487253397j,1197.4062457869345+2124.5878990673855j,1344.2336768274047+2382.5896582660225j,1557.6853356644767+2737.118777844434j,1664.2987119785212+2944.7078883400495j,1843.2349956164917+3250.528872382004j,2016.8467472868992+3566.1001588504173j,2205.5466302771915+3897.725387015065j,2405.1609740192944+4246.7277627541225j,2605.4523107284663+4606.120147286247j,2822.792909894924+4984.73374667581j,3049.9020394184795+5377.30039108359j,3279.6659581853505+5783.686065854148j,3548.7670433939497+6216.59011015358j,3883.3281533497275+6685.384029792632j
106269.4028,4.32659122696657+7.620549661487097j,17.14098736773164+29.99127454503114j,38.428027302946454+67.09012459412678j,68.02175687258591+118.75704363917082j,105.88195402140839+185.11220660407952j,151.85633217435787+266.20845161846773j,205.3840178242452+361.7731676388189j,268.17991342213764+472.45951878310507j,339.27535290214826+597.7465340401995j,418.5563271383974+737.8553999648946j,509.20892659827695+893.8430036653946j,603.1932913057653+1062.6980680976105j,708.092328524094+1247.345232249415j,825.867030625175+1448.3187391204035j,957.4503288058617+1666.654197970848j,1070.5470319234555+1888.320619471379j,1209.265723287912+2132.5491565785724j,1357.2389009137464+2391.9797368881477j,1572.6362415294761+2747.1331176566964j,1680.430013682181+2956.182019496004j,1861.1861565133295+3263.282050448313j,2036.1226546791788+3579.7623822789105j,2227.119424744991+3912.807338953686j,2427.0447850505275+4262.569739873154j,2630.3642216306002+4624.412834188805j,2849.9629129766226+5003.914287498867j,3079.650050564299+5396.17874691151j,3310.3419267620734+5805.8533997391805j,3582.890518716088+6239.295174209485j,3920.5824955804874+6708.997244112403j
107080.2237,4.366978257496947+7.647558832694711j,17.300847816493757+30.096513223744246j,38.786247685575766+67.32254776219219j,68.65441739838083+119.17156260185949j,106.87197225993405+185.7605042308709j,153.2801395252397+267.1384216987733j,207.3145747312599+363.03065228555033j,270.70623844957265+474.1050601600282j,342.47911177480114+599.8210627146279j,422.5182382514072+740.4504031401152j,514.0086869983094+896.9606740611189j,608.905823023855+1066.477170956098j,714.5838405455153+1251.649269596995j,833.5456980246138+1453.3095250619776j,966.3374696387635+1672.3610769663856j,1080.6489099667706+1895.0238598267326j,1220.3428313141362+2140.2993958218653j,1369.957299436761+2400.254481076297j,1587.9937109130497+2756.938579845541j,1696.1665587598015+2966.483777559044j,1878.9152040452389+3274.148181950472j,2056.697488643618+3592.835708168642j,2248.5291935536675+3926.945576374762j,2451.74913742614+4277.234938901862j,2656.913438751764+4640.163720920471j,2878.5097277465716+5021.53426863898j,3110.7377391240425+5416.831626854341j,3343.7874549817507+5826.276063878682j,3617.9112275191787+6261.2716346838715j,3959.4672775187614+6732.489007952341j
