Frequency (Hz),N=1,N=2,N=3,N=4,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16,N=17,N=18,N=19,N=20,N=21,N=22,N=23,N=24,N=25,N=26,N=27,N=28,N=29,N=30,N=31,N=32,N=33,N=34,N=35,N=36,N=37,N=38,N=39,N=40,N=41,N=42,N=43,N=44,N=45,N=46,N=47,N=48,N=49,N=50
100000,2.4001919002553604+5.285992678384523j,9.466762280085838+20.914660235224925j,21.211518129819066+46.93919697329264j,37.64094478055873+83.308515807431j,58.77575646763726+130.0170412383673j,84.52862281459021+187.05606581997517j,114.74701412402142+254.37135364954844j,149.66567509973768+332.0495673447807j,189.97438594036618+420.52897568780355j,233.54672681182353+518.6052160722178j,282.92992064539465+627.5908329294524j,336.5192962798085+746.7299435667046j,393.95466972755116+875.8439596349756j,453.80979325659945+1013.4392855933675j,521.4127665148413+1164.0390949339846j,597.5304521226248+1327.2765435071037j,676.4311877703441+1499.7478146438489j,759.4633897157872+1681.9796422735756j,844.4630396130385+1873.081752165006j,935.4917949211265+2075.5139534353198j,1031.0246418783152+2288.013293490493j,1132.3380824624649+2512.038087264401j,1240.427737890305+2747.960894046897j,1346.5290952426624+2989.232546319524j,1463.1376710062339+3245.8752793585377j,1586.181996740291+3513.223574822189j,1709.737052526091+3788.1910941829915j,1839.1214071749184+4075.52918021502j,1977.306286447323+4374.062412985175j,2120.2863977552593+4683.319647820623j,2277.870424169937+5011.077332906839j,2426.0234627573236+5337.709051432467j,2570.180457389287+5673.166975075725j,2729.6625601190613+6024.127938178905j,2898.3668169037555+6386.10202231461j,3073.335146474075+6761.6542202143455j,3258.380348199025+7152.3301337932735j,3459.7976751633328+7557.646005132852j,3616.8454131360595+7943.571219906619j,3816.5067818256457+8361.951610064414j,4033.544068866482+8807.493758714025j,4217.881940047505+9233.10803053228j,4434.595800432081+9684.114651327123j,4660.398659320073+10158.450399542231j,4886.278339069082+10633.419395884863j,5102.85466397725+11106.466870322363j,5339.576500482477+11597.068980899188j,5573.974174701591+12104.64833792307j,5836.267010901176+12639.176090756928j,6197.062907173252+13228.14974128357j
100762.9863,2.426022228470145+5.310935963642501j,9.571030852760243+21.011769634774804j,21.445130365960672+47.1568531687159j,38.0577788357211+83.69543820057274j,59.42746888590937+130.6216874358184j,85.46434278403856+187.92923857274874j,116.02219149875398+255.55906387396215j,151.33216357658267+333.5992064729449j,192.09623575290803+422.49242287524197j,236.14989333950882+521.0301290147379j,286.0919740801988+630.5161919494298j,340.2894553640332+750.2409991726247j,398.36730005479023+879.9667509589893j,458.70243345017826+1018.1395719737839j,527.3207874849846+1169.5846031900182j,604.2129259184198+1333.6188255871007j,684.0126487968215+1506.7168878315258j,767.9447414379988+1689.986384459594j,853.9382510343264+1881.9871278564844j,946.1000667864248+2085.1958902918855j,1042.7528780398475+2298.658053730744j,1145.0355994474724+2523.9527463800587j,1254.6244187373966+2760.904711309906j,1361.9416454490936+3003.749102272093j,1480.2305883897463+3261.3432167446367j,1603.5532571499482+3529.4687086007602j,1729.0884959516447+3806.4169454978987j,1861.0446408427936+4094.423765087609j,2000.0785529606655+4394.97788788393j,2142.9354424730877+4705.4440504439335j,2303.3499345272944+5035.242163047671j,2451.976762000423+5363.945663542945j,2599.1051947811266+5699.942645863288j,2761.271275579824+6050.339523177386j,2931.945034670715+6416.501180274459j,3108.6900118423696+6793.148527686101j,3295.8235245607407+7187.14395886624j,3499.450769674423+7593.571593602756j,3659.108270325914+7982.164285238937j,3858.922987637607+8405.193005869658j,4079.342691835804+8850.518608879996j,4265.05389389676+9276.555974460405j,4481.006283584825+9729.295358857751j,4719.5759713021625+10203.47810986099j,4947.436308292577+10683.707248898172j,5161.4317557449+11157.108441193805j,5395.83310524139+11646.13461208266j,5644.623486386121+12161.200415919291j,5908.843317455379+12694.975313588757j,6270.432663308331+13288.45767728227j
101531.794,2.452620384062267+5.3359232603051545j,9.676264338328712+21.1089259414926j,21.684136606517725+47.37405486781001j,38.48124543214863+84.08120023152789j,60.090659879395304+131.22036732045325j,86.41408104115138+188.78599970974116j,117.32425246349761+256.7302884751729j,153.024607590737+335.13866640182295j,194.23655303369614+424.4267244021791j,238.80380022829132+523.4246922851307j,289.2922132231566+633.4121103873435j,344.0765111257854+753.6786469019988j,402.849467327421+884.0641523940321j,463.70016514740627+1022.7260180329067j,533.2311660925311+1174.9603752510068j,611.0483527764068+1339.6484391359554j,691.6437240043209+1513.626263577532j,776.6994796303994+1697.7509174709471j,863.4433147012171+1890.6993688534076j,956.6446441698965+2094.968532442721j,1054.8578538262254+2309.4100205299897j,1157.9054795460554+2535.4394889566574j,1269.0196292489177+2773.2479694321964j,1377.552001598631+3017.8860485096347j,1496.782870872888+3276.0804466882596j,1622.1292702462933+3545.432711766021j,1749.2269484393+3824.2975296724007j,1880.9413512298981+4113.4361311238135j,2022.7996578390002+4414.916784257332j,2168.0204473965723+4726.823015693624j,2330.7068979933283+5059.620598855861j,2481.3998752785183+5390.606024913616j,2630.3992731457492+5726.0874130243255j,2791.7191497599033+6079.548319894659j,2965.550922202759+6447.749624206336j,3145.857972942236+6826.449213966069j,3333.867217484748+7220.370706041321j,3537.8170785946313+7627.79805074781j,3700.032666877733+8018.507288778936j,3903.221828587296+8443.699408494369j,4126.5644784672295+8889.172214365832j,4315.107001217834+9314.625690484327j,4537.059969839355+9775.968443042459j,4774.196604739396+10250.428327037473j,5005.422608928176+10731.027744967272j,5226.687712902799+11213.260690420344j,5464.115370411275+11709.43532426599j,5706.483429262277+12220.738630785145j,5976.537931216401+12757.392633708976j,6346.304407041133+13352.836741236328j
102306.4677,2.478360015908189+5.361148237009557j,9.781778988467895+21.20756682214475j,21.921570519129975+47.592783585657166j,38.90456046842777+84.46811174998479j,60.750413255787+131.82367866222023j,87.36219586307712+189.65646809221323j,118.6120307094742+257.91775078391277j,154.71704839350616+336.6821687862658j,196.37906376816267+426.38345524312973j,241.43526380073772+525.8570013009105j,292.5004064988638+636.3470507530673j,347.8601214759245+757.1851147275296j,407.3331971289445+888.1079580223231j,468.7294557483567+1027.415877097601j,539.1575031294566+1180.4865882206896j,617.7355358052777+1345.8828400920117j,699.3386298300888+1520.6682815575423j,785.2896947617978+1705.610674848047j,873.2988418863715+1899.5194431862694j,967.573245216986+2104.4542761403j,1066.4592106340124+2320.358543083013j,1171.121784247053+2547.161980095416j,1283.0063594152098+2786.7758207437846j,1393.0709600280818+3031.6686890334213j,1513.4620454891658+3292.1655175362807j,1640.472846947365+3562.2988044962553j,1768.5558983215756+3841.6865986589532j,1902.7138546467002+4132.380961481336j,2045.9011146063333+4436.083389703101j,2192.678864088412+4749.811215413301j,2356.019084521207+5083.4586407161805j,2508.9018633816668+5415.161287111238j,2660.13178230291+5753.764972163849j,2825.078042114542+6110.2959659027965j,2998.3321152823814+6478.213346362739j,3180.399041890684+6859.543590907666j,3371.8531105263382+7254.948028575783j,3579.1599811908077+7664.443406831573j,3745.138319606482+8057.840195963624j,3950.4609070232377+8482.326391347653j,4175.12877899799+8930.761205308643j,4365.738314313607+9361.40208649612j,4590.558669815269+9824.735385629188j,4829.558133072206+10302.720609585656j,5061.646509140272+10782.604948281472j,5283.16267170117+11266.51267886329j,5521.787495623607+11766.22880074716j,5775.5923605909275+12279.634511322047j,6046.181524612454+12810.680711135079j,6414.418105138655+13413.784982873041j
103087.0519,2.5054142224076377+5.386393936064142j,9.889071908046496+21.303765320682622j,22.161716354785092+47.81029031546122j,39.331629961311414+84.85374399603103j,61.41748009245895+132.42660387240304j,88.32047672702475+190.52373360052826j,119.91882420455978+259.10059080436605j,156.42395819348226+338.2350091821033j,198.53727979883996+428.3468817312753j,244.12363286694665+528.2902862076984j,295.7421407102118+639.2716020718078j,351.7295834617684+760.6779008740382j,411.8648886933324+892.235066280964j,473.8996384620668+1032.0354672386784j,545.1767708705032+1185.9477768800812j,624.6936143357198+1352.2355675020676j,707.1311949477663+1527.648703968101j,794.111091766769+1713.577916596437j,882.83052352773+1908.1939843693408j,978.2398803727392+2114.4065667075347j,1078.3941666206458+2330.8971473784845j,1184.1169154566942+2558.6582690858977j,1297.4165263452273+2799.2942122304316j,1408.61333720788+3046.1628361803023j,1530.5688767464592+3307.116130605449j,1659.2593639649535+3579.502152088337j,1788.7306705933224+3859.821030727389j,1923.9943201232809+4151.344352058561j,2068.748520763559+4456.663590348649j,2216.6388087496757+4772.26965734972j,2382.9976016916967+5106.929564219124j,2538.0074682992135+5440.331077273045j,2690.7256798745593+5781.872292252903j,2855.6672882766097+6137.1596152940265j,3033.46447061812+6507.037834102686j,3216.900253095352+6891.482777511281j,3410.726662853008+7288.220807292275j,3619.701508277807+7701.923787401132j,3786.6808361204658+8096.3962514161985j,3994.8419013203957+8522.12643645246j,4226.8821149754785+8976.853185553398j,4420.323473052572+9407.779290140365j,4641.69505262786+9871.336350273761j,4882.885391902929+10348.530194645517j,5122.75312074219+10838.648958880989j,5341.247608966114+11320.659556190645j,5590.142016321033+11813.131812521551j,5846.15589069944+12344.953904214093j,6126.329899103519+12877.589282872534j,6496.516248074585+13482.388414162811j
103873.592,2.5323134128743883+5.411465276170942j,9.996642164291078+21.401241676573253j,22.40396939749716+48.02587326378702j,39.761136915243334+85.23627061145865j,62.09028847096315+133.02672078867099j,89.28635634988757+191.38439422652448j,121.23658044840366+260.2733939912173j,158.13989459467587+339.77318516401124j,200.72447649546007+430.2916534952528j,246.8091500492351+530.6744515871918j,298.9804251448985+642.1874806764029j,355.6240447902053+764.1186918515051j,416.4031923056214+896.3077728721353j,479.0286234901304+1036.75084241928j,551.1895011778771+1191.4085685579794j,631.5410623015805+1358.3027823836142j,714.9708950869092+1534.6491071719145j,802.8393070370735+1721.3178923914793j,892.7877966695333+1917.02145650505j,989.1574133465224+2123.8695521249892j,1090.1815877784834+2341.793795000403j,1197.1966480638275+2570.88989329226j,1311.8755044832706+2812.1194719699142j,1424.4115654160773+3059.858223143123j,1547.5786757111216+3322.771217765809j,1677.5385100947206+3595.3906395253657j,1808.1552452162352+3877.7412262649805j,1945.9192209903504+4170.911901823944j,2092.5668210345893+4476.93362934606j,2242.3039878763043+4793.88592590185j,2410.790402678447+5130.348577943029j,2565.7969962246516+5465.130684462875j,2721.145866319791+5807.825664505293j,2889.4554525058793+6165.764386332447j,3070.7799881900596+6537.589451567772j,3254.2143725270457+6923.273360055419j,3450.06869384+7323.9476653241045j,3662.3824167529806+7739.185666556202j,3829.2473073239044+8132.571828473288j,4043.6631366381566+8565.005111023334j,4272.502386773629+9019.066678058298j,4470.759292134089+9450.759595271506j,4697.144675617344+9915.291902026942j,4939.838110885444+10404.180261135441j,5178.863200728242+10885.951306832674j,5403.623792302943+11373.799560319818j,5651.295769109559+11873.194492601708j,5912.049994183421+12407.258740005962j,6183.990749764325+12933.183822116993j,6569.930804436108+13549.44453562316j
104666.1332,2.559624444855797+5.436471537011666j,10.104633693661778+21.49798136206481j,22.64790774556894+48.24268207064819j,40.19386133410711+85.61924489265321j,62.766460178055866+133.62609699309743j,90.25888257432736+192.24610014858874j,122.55736893144314+261.4521296509753j,159.87357388274637+341.3091405931493j,202.91788331612048+432.23420282553485j,249.5164778283443+533.0971060632422j,302.2819612682363+645.1036018784125j,359.54944072417345+767.587661706239j,420.9779928684096+900.3613213846337j,484.3115518528593+1041.4749547409574j,557.3364774297563+1196.8309415963927j,638.5980113155302+1364.5214701179473j,722.9405888517317+1541.608737468826j,811.7094384310209+1729.1808010795123j,902.6000370876969+1925.8303938309361j,1000.0077043636736+2133.732360487929j,1102.3940879882375+2352.259987116327j,1210.539898060108+2582.411243068804j,1326.7358976615058+2824.978150234731j,1440.3151551210879+3073.954237717238j,1565.1666308186323+3337.587071904708j,1695.9891582637279+3612.030610640003j,1828.644323400814+3895.403912259122j,1966.7701039091548+4190.7315928224425j,2115.1881673672765+4497.682043086688j,2267.2913033406267+4815.677128187799j,2437.1216318407355+5153.199994003275j,2596.2691131728184+5490.447650923191j,2752.0278851196135+5833.1681014363885j,2921.4017410061992+6194.330386474772j,3102.50520770514+6569.37393379182j,3288.471941159056+6954.728483051738j,3490.1879489672715+7356.718242373246j,3704.9324326919937+7772.808249887905j,3873.685523862785+8170.400264804133j,4087.6991720373435+8603.245628945391j,4320.693884468287+9057.286528841452j,4520.5730774121885+9497.335956968944j,4746.717037738872+9956.905958584406j,4997.003496114967+10448.133806708322j,5241.216629069778+10935.768058385933j,5465.582814607062+11426.671836822048j,5716.385595410201+11934.419845606932j,5976.301845490716+12455.091731429244j,6267.549483341053+12991.261739090238j,6639.338215312323+13604.964186465962j
105464.7215,2.5871721196389332+5.461853340657193j,10.214278411016169+21.595285916153188j,22.894340162325996+48.46101679904956j,40.6299552091905+86.00556341376851j,63.44772499840968+134.22571716594783j,91.23857260675376+193.11320250592198j,123.89640758827012+262.636671629204j,161.61442260435726+342.8578964666843j,205.12887176995318+434.1928424241162j,252.24223046800677+535.5144147396499j,305.6000384983792+648.0244758269786j,363.479575220543+771.0698093818623j,425.6189727428976+904.4817113758891j,489.6544161559095+1046.2765396569034j,563.4658373565726+1202.3482276343682j,645.6066133922311+1370.8448603997624j,730.8789632548206+1548.6014673899138j,820.7339341388225+1736.96477490382j,912.5652375045171+1934.5900947726343j,1011.0082339956705+2143.3894786888386j,1114.5808842091396+2363.054781626167j,1223.8753002307392+2594.457543437663j,1341.0399558425868+2838.0536067060593j,1455.8248586139887+3088.192175095741j,1582.9119699869439+3353.092988169069j,1715.3497017160119+3628.836939952365j,1848.9862698987577+3913.625566892873j,1989.7274165456865+4209.763545393674j,2139.729418077147+4517.803506336252j,2292.724570915756+4838.229720841348j,2465.0855705587483+5177.594417256573j,2623.8577559716973+5515.738081626682j,2782.7031274560713+5860.480396953911j,2953.86279791196+6223.9456269936145j,3137.7063740299627+6598.101620030094j,3329.9824134122596+6986.040581253792j,3529.087315914197+7391.426453868513j,3746.527211949821+7809.919240536468j,3917.88995137691+8209.807561823562j,4134.9749997486+8643.233980886554j,4368.854830423169+9100.835482561235j,4572.550873178634+9540.628538104702j,4801.993400621509+10007.06723058579j,5056.416534167868+10497.360742214045j,5300.661045312587+10987.102685015885j,5532.316857287384+11476.794591911801j,5784.110207885951+11990.02852561222j,6047.062055653264+12511.869570177645j,6329.260779568411+13057.655223850203j,6731.057798231696+13677.127751730097j
106269.4028,2.614788172217648+5.486804096086462j,10.324260045531286+21.69139411315103j,23.142534002124947+48.67688132391455j,41.069106282031534+86.38861481605198j,64.13186858654355+134.82601939566183j,92.21781552584244+193.9755295904507j,125.23269319322696+263.82070592446786j,163.36676066459455+344.39058138231013j,207.35793635163697+436.13894978299845j,254.99336501746586+537.9035777709387j,308.91081634333347+650.9588387781572j,367.40218338949586+774.5219384235911j,430.23857477545687+908.5661053657269j,495.0676495598747+1051.0375460601426j,569.6294213122624+1207.800434885056j,652.5998719861882+1376.890088325229j,738.8525986252218+1555.596688363246j,829.5772254430152+1744.8250139203037j,922.4485693910534+1943.139680402388j,1022.1145049945839+2153.028107543246j,1126.9637218614125+2373.5748939366795j,1237.2777319341585+2605.880755890396j,1355.6368792927567+2850.8413423410516j,1472.327726965217+3101.721366289617j,1599.8611469981722+3368.0753635319293j,1734.0113179253433+3644.805890624505j,1869.6073636365768+3931.183162533733j,2011.6825617534848+4229.235814688206j,2163.2196331504965+4539.236659800227j,2318.166750723758+4859.8023432957525j,2491.7697264057356+5201.137843238586j,2654.8073611533637+5540.141630448415j,2813.6879870552557+5889.312754212861j,2989.7601662018014+6252.341906825707j,3173.919958938997+6629.733514101422j,3365.431362104513+7021.211271535828j,3569.3495102142265+7426.803288478145j,3788.938205755956+7845.19735427231j,3963.7727742544007+8244.965423380709j,4182.928253184915+8682.6226606281j,4420.78670894905+9142.25558535749j,4625.992945909572+9587.545941457844j,4856.500321516257+10052.804409113427j,5114.168417211623+10545.274692318717j,5366.479030872091+11041.584704984642j,5598.463235936131+11531.17309464793j,5857.952098812278+12033.803850179122j,6110.005686079497+12570.529214493328j,6408.923017376251+13118.41608795884j,6791.589491782467+13737.28311314636j
107080.2237,2.6423193694046776+5.511787286604166j,10.434694590349974+21.788292720111652j,23.39109545995465+48.89313938313237j,41.51066837051334+86.77308559397427j,64.82535984822466+135.42406469467866j,93.21301785197032+194.841464900095j,126.59192639851462+264.9862430014327j,165.1408453301943+345.92765994051865j,209.6080250290122+438.08389812226125j,257.7745400449342+540.320525741677j,312.2442391803384+653.8356373239554j,371.4364981901893+778.0220728231843j,434.93514389071424+912.6114219796599j,500.776678634669+1055.886381718693j,575.8875219683745+1213.1744414280681j,659.800047816307+1383.1309470065971j,746.86398346444+1562.6114118425055j,838.712618314616+1752.6011447559124j,932.7051846096069+1952.0426330666037j,1033.442470353259+2162.865006467237j,1139.000705848871+2384.3839448352387j,1250.8467490829253+2617.828330313695j,1370.6517385050192+2863.4634953740897j,1488.478505304669+3116.092416547453j,1617.7030148524248+3383.787363039044j,1753.0046770310887+3661.451394055227j,1889.9180677796928+3948.6801819944535j,2033.087500485312+4248.32277799751j,2187.7542254567206+4560.021469610212j,2343.9901692103126+4883.130934264316j,2520.5910102805315+5223.940724382399j,2681.967104154976+5565.686468438783j,2845.5834081362405+5914.569198065318j,3022.459851571191+6278.993365642072j,3210.559183418297+6658.19312987631j,3405.7247241758723+7051.8696367448765j,3610.8028267065965+7460.034989604798j,3831.396060207789+7879.220663733228j,4009.6774727863417+8288.23550597417j,4230.362471534772+8723.474323476164j,4469.368220573209+9184.367173751245j,4673.404299658695+9631.451585051956j,4908.907686071835+10101.216672564035j,5169.948863816017+10597.675365510719j,5423.818224546683+11090.865536903058j,5658.861015190448+11589.367682738655j,5920.320477948434+12096.28457192344j,6191.206809485744+12629.018531867532j,6476.791726486795+13182.345180473758j,6874.028772486146+13791.181843082204j
